Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Lotus,Gen.G,10,0,3,0,5,1,1,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Lotus,Team Secret,5,1,1,0,10,0,3,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Split,Gen.G,8,1,3,0,5,2,4,3
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Gen.G vs Team Secret,Split,Team Secret,5,2,4,3,8,1,3,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Ascent,Paper Rex,8,0,1,0,9,1,3,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Ascent,ZETA DIVISION,9,1,3,0,8,0,1,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Lotus,Paper Rex,11,2,0,0,4,3,1,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Lotus,ZETA DIVISION,4,3,1,0,11,2,0,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Sunset,Paper Rex,9,0,3,1,4,0,0,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,Paper Rex vs ZETA DIVISION,Sunset,ZETA DIVISION,4,0,0,0,9,0,3,1
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Bind,T1,8,0,2,3,6,0,4,1
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Bind,BLEED,6,0,4,1,8,0,2,3
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Lotus,T1,5,0,2,2,7,2,4,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Lotus,BLEED,7,2,4,0,5,0,2,2
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Ascent,T1,10,1,1,1,8,0,0,0
Champions Tour 2024: Pacific Stage 2,Regular Season,Week 4,T1 vs BLEED,Ascent,BLEED,8,0,0,0,10,1,1,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Haven,Gen.G,9,3,1,0,5,1,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Haven,Rex Regum Qeon,5,1,2,0,9,3,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Bind,Gen.G,10,2,1,0,9,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Gen.G vs Rex Regum Qeon,Bind,Rex Regum Qeon,9,1,1,0,10,2,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Lotus,Team Secret,7,3,1,0,4,2,5,2
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Lotus,Talon Esports,4,2,5,2,7,3,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Abyss,Team Secret,3,3,4,1,7,2,4,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Knockout Round,Team Secret vs Talon Esports,Abyss,Talon Esports,7,2,4,0,3,3,4,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Ascent,Paper Rex,7,0,1,2,9,1,2,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Ascent,Gen.G,9,1,2,1,7,0,1,2
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Icebox,Paper Rex,3,1,1,0,10,1,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs Gen.G,Icebox,Gen.G,10,1,2,0,3,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Ascent,DRX,7,4,1,1,5,0,2,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Ascent,Talon Esports,5,0,2,1,7,4,1,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Abyss,DRX,12,0,1,0,3,1,0,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs Talon Esports,Abyss,Talon Esports,3,1,0,0,12,0,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Haven,Gen.G,11,0,2,0,7,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Haven,DRX,7,1,1,0,11,0,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Sunset,Gen.G,5,2,2,1,8,2,3,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Sunset,DRX,8,2,3,0,5,2,2,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Bind,Gen.G,8,1,1,3,3,3,0,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Upper Final,Gen.G vs DRX,Bind,DRX,3,3,0,0,8,1,1,3
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Ascent,Paper Rex,11,0,2,0,1,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Ascent,Talon Esports,1,1,1,0,11,0,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Sunset,Paper Rex,8,1,4,0,1,0,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Round 1,Paper Rex vs Talon Esports,Sunset,Talon Esports,1,0,2,0,8,1,4,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Abyss,DRX,2,0,5,0,9,1,3,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Abyss,Paper Rex,9,1,3,0,2,0,5,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Lotus,DRX,8,1,1,0,11,0,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Lotus,Paper Rex,11,0,2,0,8,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Bind,DRX,6,3,3,1,6,1,2,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Bind,Paper Rex,6,1,2,1,6,3,3,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Icebox,DRX,9,0,3,1,9,0,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Icebox,Paper Rex,9,0,1,0,9,0,3,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Ascent,DRX,11,2,0,0,4,1,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Lower Final,DRX vs Paper Rex,Ascent,Paper Rex,4,1,2,0,11,2,0,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Haven,Gen.G,5,0,1,0,9,2,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Haven,DRX,9,2,2,0,5,0,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Bind,Gen.G,14,1,3,0,8,0,8,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Bind,DRX,8,0,8,0,14,1,3,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Lotus,Gen.G,8,1,4,1,7,3,2,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Lotus,DRX,7,3,2,0,8,1,4,1
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Icebox,Gen.G,9,2,1,1,4,1,1,0
Champions Tour 2024: Pacific Stage 2,Playoffs,Grand Final,Gen.G vs DRX,Icebox,DRX,4,1,1,0,9,2,1,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Split,FUT Esports,7,1,2,3,5,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Split,KOI,5,0,2,0,7,1,2,3
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Lotus,FUT Esports,3,1,2,1,9,2,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Lotus,KOI,9,2,2,0,3,1,2,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Sunset,FUT Esports,7,5,1,0,4,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,FUT Esports vs KOI,Sunset,KOI,4,0,2,0,7,5,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Ascent,BBL Esports,7,2,0,0,10,1,1,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Ascent,FNATIC,10,1,1,1,7,2,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Bind,BBL Esports,7,1,3,2,4,2,5,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Bind,FNATIC,4,2,5,0,7,1,3,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Lotus,BBL Esports,6,2,3,0,10,0,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs FNATIC,Lotus,FNATIC,10,0,3,0,6,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Sunset,Team Heretics,7,0,5,1,2,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Sunset,Natus Vincere,2,0,1,0,7,0,5,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Bind,Team Heretics,11,1,1,0,3,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Heretics vs Natus Vincere,Bind,Natus Vincere,3,0,2,0,11,1,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Split,GIANTX,0,0,0,1,11,2,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Split,Gentle Mates,11,2,0,0,0,0,0,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Sunset,GIANTX,8,3,0,2,7,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Sunset,Gentle Mates,7,1,3,0,8,3,0,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Breeze,GIANTX,5,4,3,1,9,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,GIANTX vs Gentle Mates,Breeze,Gentle Mates,9,0,2,0,5,4,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Lotus,Team Vitality,8,3,2,0,6,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Lotus,Team Liquid,6,1,3,0,8,3,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Icebox,Team Vitality,13,3,1,0,12,2,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Team Vitality vs Team Liquid,Icebox,Team Liquid,12,2,1,0,13,3,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Lotus,BBL Esports,2,0,3,1,8,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Lotus,Karmine Corp,8,2,3,0,2,0,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Sunset,BBL Esports,4,1,0,0,10,2,0,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,BBL Esports vs Karmine Corp,Sunset,Karmine Corp,10,2,0,1,4,1,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Ascent,Natus Vincere,9,1,1,0,9,2,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Ascent,FUT Esports,9,2,2,0,9,1,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Lotus,Natus Vincere,2,3,0,0,6,1,5,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 1,Natus Vincere vs FUT Esports,Lotus,FUT Esports,6,1,5,1,2,3,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Sunset,KOI,8,1,3,1,1,0,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Sunset,GIANTX,1,0,3,1,8,1,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Icebox,KOI,10,1,3,0,4,4,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs GIANTX,Icebox,GIANTX,4,4,4,0,10,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Sunset,Team Heretics,8,2,3,0,6,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Sunset,FUT Esports,6,1,3,0,8,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Split,Team Heretics,8,1,3,1,6,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Team Heretics vs FUT Esports,Split,FUT Esports,6,0,0,0,8,1,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Haven,FNATIC,10,1,2,0,4,1,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Haven,Team Vitality,4,1,1,0,10,1,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Icebox,FNATIC,3,1,2,0,9,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Icebox,Team Vitality,9,1,3,0,3,1,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Lotus,FNATIC,9,2,2,0,3,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Team Vitality,Lotus,Team Vitality,3,1,3,0,9,2,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Lotus,BBL Esports,9,3,1,0,5,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Lotus,Team Liquid,5,0,1,0,9,3,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Ascent,BBL Esports,9,2,1,1,4,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,BBL Esports vs Team Liquid,Ascent,Team Liquid,4,0,1,0,9,2,1,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Lotus,Natus Vincere,4,1,3,1,11,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Lotus,GIANTX,11,0,2,0,4,1,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Ascent,Natus Vincere,7,0,1,0,10,1,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,Natus Vincere vs GIANTX,Ascent,GIANTX,10,1,2,0,7,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Sunset,KOI,3,5,3,0,6,3,2,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Sunset,Gentle Mates,6,3,2,2,3,5,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Split,KOI,8,0,2,1,8,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,KOI vs Gentle Mates,Split,Gentle Mates,8,2,3,0,8,0,2,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Haven,FNATIC,8,0,5,0,3,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Haven,Karmine Corp,3,0,0,0,8,0,5,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Lotus,FNATIC,7,3,3,0,4,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 2,FNATIC vs Karmine Corp,Lotus,Karmine Corp,4,1,3,0,7,3,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Bind,Team Heretics,8,2,3,0,5,2,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Bind,GIANTX,5,2,2,0,8,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Split,Team Heretics,8,2,2,1,12,0,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Split,GIANTX,12,0,3,0,8,2,2,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Haven,Team Heretics,7,3,2,1,7,1,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs GIANTX,Haven,GIANTX,7,1,1,0,7,3,2,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Sunset,FUT Esports,6,3,2,2,4,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,4,1,3,0,6,3,2,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Split,FUT Esports,6,1,5,1,4,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,FUT Esports vs Gentle Mates,Split,Gentle Mates,4,0,0,0,6,1,5,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Split,KOI,10,1,1,1,10,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Split,Natus Vincere,10,0,0,0,10,1,1,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Icebox,KOI,8,1,4,0,3,0,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,KOI vs Natus Vincere,Icebox,Natus Vincere,3,0,3,0,8,1,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Bind,Team Liquid,9,1,3,0,5,1,5,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Bind,Karmine Corp,5,1,5,0,9,1,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Sunset,Team Liquid,12,0,1,0,2,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Liquid vs Karmine Corp,Sunset,Karmine Corp,2,0,0,0,12,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Ascent,BBL Esports,4,3,0,0,12,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Ascent,Team Vitality,12,0,1,0,4,3,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Sunset,BBL Esports,9,0,3,1,5,0,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Sunset,Team Vitality,5,0,1,0,9,0,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Lotus,BBL Esports,7,0,4,0,9,0,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,BBL Esports vs Team Vitality,Lotus,Team Vitality,9,0,3,1,7,0,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Sunset,Team Heretics,5,4,3,1,5,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Sunset,Gentle Mates,5,0,2,0,5,4,3,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Icebox,Team Heretics,5,2,3,0,9,0,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Icebox,Gentle Mates,9,0,4,0,5,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Lotus,Team Heretics,4,2,5,2,3,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 3,Team Heretics vs Gentle Mates,Lotus,Gentle Mates,3,0,2,0,4,2,5,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Split,FUT Esports,8,0,3,2,3,0,0,1
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Split,GIANTX,3,0,0,1,8,0,3,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Lotus,FUT Esports,4,4,5,0,2,0,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FUT Esports vs GIANTX,Lotus,GIANTX,2,0,4,0,4,4,5,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Icebox,Team Heretics,5,2,2,2,9,0,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Icebox,KOI,9,0,4,0,5,2,2,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Bind,Team Heretics,7,5,1,0,6,0,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Bind,KOI,6,0,3,0,7,5,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Haven,Team Heretics,5,3,3,2,5,2,3,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Heretics vs KOI,Haven,KOI,5,2,3,0,5,3,3,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Icebox,FNATIC,8,0,5,0,2,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Icebox,Team Liquid,2,0,0,0,8,0,5,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Haven,FNATIC,11,1,1,0,6,2,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,FNATIC vs Team Liquid,Haven,Team Liquid,6,2,1,0,11,1,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Sunset,Natus Vincere,8,1,4,0,6,1,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Sunset,Gentle Mates,6,1,0,0,8,1,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Ascent,Natus Vincere,2,4,2,0,11,0,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Ascent,Gentle Mates,11,0,2,0,2,4,2,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Split,Natus Vincere,9,3,1,0,8,0,1,2
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Natus Vincere vs Gentle Mates,Split,Gentle Mates,8,0,1,2,9,3,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Icebox,Team Vitality,6,1,6,0,4,0,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Icebox,Karmine Corp,4,0,0,0,6,1,6,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Lotus,Team Vitality,6,3,0,0,10,2,1,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Lotus,Karmine Corp,10,2,1,0,6,3,0,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Sunset,Team Vitality,12,0,2,0,7,1,4,0
Champions Tour 2024: EMEA Stage 2,Regular Season,Week 4,Team Vitality vs Karmine Corp,Sunset,Karmine Corp,7,1,4,0,12,0,2,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Haven,Team Vitality,7,1,0,0,7,2,4,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Haven,Natus Vincere,7,2,4,0,7,1,0,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Sunset,Team Vitality,11,1,1,0,5,0,0,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Sunset,Natus Vincere,5,0,0,0,11,1,1,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Ascent,Team Vitality,8,1,4,0,5,0,2,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,Team Vitality vs Natus Vincere,Ascent,Natus Vincere,5,0,2,0,8,1,4,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Icebox,FNATIC,3,2,2,0,6,3,4,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Icebox,Karmine Corp,6,3,4,0,3,2,2,0
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Sunset,FNATIC,8,1,6,0,8,2,2,1
Champions Tour 2024: EMEA Stage 2,Playoffs,Knockout Round,FNATIC vs Karmine Corp,Sunset,Karmine Corp,8,2,2,1,8,1,6,0
