Tournament,Stage,Match Type,Match Name,Team,Action,Map
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,KRÜ Esports,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Sentinels,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,MIBR,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,LOUD,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,MIBR,pick,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,LOUD,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,MIBR,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,LOUD,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Leviatán,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,100 Thieves,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Leviatán,pick,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,100 Thieves,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Leviatán,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,NRG Esports,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,G2 Esports,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,NRG Esports,pick,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,G2 Esports,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,NRG Esports,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,G2 Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Cloud9,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Sentinels,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Cloud9,pick,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Sentinels,pick,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Cloud9,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Sentinels,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Leviatán,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Evil Geniuses,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Leviatán,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Evil Geniuses,pick,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Leviatán,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Evil Geniuses,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,LOUD,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,FURIA,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,LOUD,pick,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,FURIA,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,LOUD,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,FURIA,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,MIBR,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,100 Thieves,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,MIBR,pick,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,100 Thieves,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,MIBR,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,NRG Esports,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,KRÜ Esports,pick,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,NRG Esports,pick,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,KRÜ Esports,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,NRG Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,G2 Esports,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,KRÜ Esports,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,G2 Esports,pick,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,KRÜ Esports,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,G2 Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,LOUD,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Leviatán,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,LOUD,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Leviatán,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,LOUD,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Leviatán,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,MIBR,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,FURIA,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,MIBR,pick,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,FURIA,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,MIBR,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,FURIA,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,NRG Esports,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Cloud9,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,NRG Esports,pick,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Cloud9,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,NRG Esports,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Cloud9,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Evil Geniuses,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Evil Geniuses,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,100 Thieves,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Evil Geniuses,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,100 Thieves,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Cloud9,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Cloud9,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,KRÜ Esports,pick,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Cloud9,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,KRÜ Esports,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Evil Geniuses,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,MIBR,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Evil Geniuses,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,MIBR,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Evil Geniuses,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,MIBR,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Leviatán,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,FURIA,ban,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Leviatán,pick,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,FURIA,pick,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Leviatán,ban,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,FURIA,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,LOUD,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,LOUD,pick,Ascent
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,100 Thieves,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,LOUD,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,100 Thieves,ban,Haven
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,G2 Esports,ban,Sunset
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Sentinels,ban,Icebox
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,G2 Esports,pick,Bind
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Sentinels,pick,Lotus
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,G2 Esports,ban,Split
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Sentinels,ban,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Cloud9,ban,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Cloud9,pick,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,KRÜ Esports,pick,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Cloud9,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,KRÜ Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Sentinels,ban,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Sentinels,pick,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,100 Thieves,pick,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Sentinels,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,100 Thieves,ban,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Leviatán,ban,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Leviatán,pick,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,KRÜ Esports,pick,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Leviatán,ban,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,KRÜ Esports,ban,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,G2 Esports,ban,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,100 Thieves,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,G2 Esports,pick,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,100 Thieves,pick,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,G2 Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Leviatán,ban,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,G2 Esports,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Leviatán,pick,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,G2 Esports,pick,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Leviatán,ban,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,G2 Esports,ban,Ascent
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,100 Thieves,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,100 Thieves,pick,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,KRÜ Esports,pick,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,100 Thieves,ban,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,KRÜ Esports,ban,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Leviatán,ban,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,KRÜ Esports,ban,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Leviatán,pick,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,KRÜ Esports,pick,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Leviatán,pick,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,KRÜ Esports,pick,Abyss
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,G2 Esports,ban,Icebox
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,G2 Esports,ban,Sunset
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,G2 Esports,pick,Lotus
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Leviatán,pick,Haven
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,G2 Esports,pick,Bind
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Leviatán,pick,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,JDG Esports,ban,Breeze
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Titan Esports Club,ban,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,JDG Esports,pick,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Titan Esports Club,pick,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,JDG Esports,ban,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Titan Esports Club,ban,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,All Gamers,ban,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,TYLOO,ban,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,All Gamers,pick,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,TYLOO,pick,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,All Gamers,ban,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,TYLOO,ban,Breeze
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Wolves Esports,ban,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,ban,Breeze
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Wolves Esports,pick,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,pick,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Wolves Esports,ban,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bilibili Gaming,ban,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,ban,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Nova Esports,ban,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,pick,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Nova Esports,pick,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Dragon Ranger Gaming,ban,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Nova Esports,ban,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Trace Esports,ban,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,FunPlus Phoenix,ban,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Trace Esports,pick,Haven
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,FunPlus Phoenix,pick,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Trace Esports,ban,Ascent
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,FunPlus Phoenix,ban,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,All Gamers,ban,Lotus
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Titan Esports Club,ban,Split
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,All Gamers,pick,Sunset
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Titan Esports Club,pick,Icebox
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,All Gamers,ban,Bind
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Titan Esports Club,ban,Haven
